Name,Price,Warranty,Brand,Purpose,Color,gen,CPU,Number of cores,Clock,Cache,OS,Ram,Max Ram,Display Size,Touchable,Display Res,Integrated Graphics,AddGraphics,VGA Memory,HDD,SSD,Optical Disk,Number Keys,LED,USB Ports,HDMI Ports,LANPorts,VGAPorts,Weight,Cells pin,VR support
Máy xách tay/ Laptop Acer A315-51-37LW (NX.GNPSV.024) (Đen),9.499.000 ?,12,Acer,Multimedia,Đen,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,500GB,Không có,Không,Có,Không có,3,1,Có,Không,1.9kg,2,Không
Máy xách tay/ Laptop Lenovo Ideapad 320-15IKB 80XL03S9VN (i3-7130U) (Đen),10.990.000 ?,12,Lenovo,Multimedia,Bạc,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Free DOS,4GB,8GB,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,NVIDIA GeForce 940MX,2GB,1TB,Không có,Có,Có,Không có,3,1,Có,Không,2.2 Kg,2,Không
Máy xách tay/ Laptop Acer A315-51-364W (NX.GNPSV.025) (Đen),9.690.000 ?,12,Acer,Multimedia,Đen,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Có,Không có,3,1,Có,Không,1.9kg,2,Không
Máy xách tay/ Laptop HP Pavilion X360 14-ba121TU (3CH50PA) (Vàng),17.490.000 ?,12,HP,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"14.0""",Không,1920 x 1080,Intel UHD Graphics 620,Không có,Không,500GB,Không có,Không,Không,Không có,3,1,Không,Không,1.63kg,3,Không
Máy xách tay/ Laptop HP 14-bs712TU (3PH02PA) (Đen),7.390.000 ?,12,HP,Multimedia,Đen,Intel Pentium,N3710,4,1.6 GHz,2MB,Windows 10,4GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel HD Graphics 405,Không có,Không,500GB,Không có,Không,Không,Không có,3,1,Có,Có,1.59 Kg,4,Không
Máy xách tay/ Laptop HP Probook 440 G5-3CH00PA (Bạc),16.490.000 ?,12,HP,Multimedia,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Free DOS,4GB,Đang cập nhật,"14.0""",Không,1920 x 1080,Intel HD Graphics,Không có,Không,Không có,256GB,Không,Không,Không có,3,1,Có,Có,1.64kg,3,Không
Máy xách tay/ Laptop HP Probook 450 G5-2ZD43PA (Bạc),16.990.000 ?,12,HP,Multimedia,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Free DOS,8GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Có,Có,Không có,3,1,Có,Có,2.06 kg,3,Không
Máy xách tay/ Laptop HP Pavilion X360 14-ba120TU (3CH49PA) (Bạc),16.990.000 ?,12,HP,Multimedia,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"14.0""",Không,1920 x 1080,Intel UHD Graphics 620,Không có,Không,500GB,Không có,Không,Có,Không có,3,1,Không,Không,1.63kg,3,Không
Máy xách tay/ Laptop Asus X405UA-EB785T (I3-7100U) (Vàng),11.390.000 ?,24,Asus,Multimedia,Vàng,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,4GB,4GB,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Đơn sắc,4,1,Có,Không,1.42 Kg,3,Không
Máy xách tay/ Laptop Dell Inspiron 13 7370 (F7370-70134541) (Bạc),24.990.000 ?,12,Dell,Multimedia,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,8GB,Đang cập nhật,"13.3""",Không,1920 x 1080,Intel UHD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Không có,3,1,Không,Không,1.4kg,3,Không
Máy xách tay/ Laptop HP Pavilion 15-cc117TU (3PN28PA) (Vàng),14.690.000 ?,12,HP,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel UHD Graphics 620,Không có,Không,1TB,Không có,Có,Có,Không có,3,1,Có,Không,2.0kg,3,Không
Máy xách tay/ Laptop Acer A515-51G-52ZS (NX.GP5SV.004) (Đen),13.690.000 ?,12,Acer,Multimedia,Đen,Intel Core i5 7th Gen,i5-7200U,4,2.5 GHz,3MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics,NVIDIA GeForce 940MX,2GB,500GB,Không có,Không,Có,Không có,3,1,Có,Không,2.2kg,4,Không
Máy xách tay/ Laptop Dell Inspiron 13 5370 (F5370-70146440) (Bạc),24.990.000 ?,12,Dell,Multimedia,Bạc,Intel Core i7 8th Gen,I7-8550U,4,1.8 GHz,8MB,Windows 10,8GB,32GB,"13.3""",Không,1920 x 1080,Intel HD Graphics 620,AMD Radeon 530,2GB,Không có,256GB,Không,Không,Đơn sắc,3,1,Không,Không,1.42 Kg,3,Không
Máy xách tay/ Laptop HP Pavilion 15-cc043TU (3MS18PA) (Vàng),11.790.000 ?,12,HP,Multimedia,Vàng,Intel Core i7 8th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Có,Có,Không có,3,1,Có,Không,2kg,3,Không
Máy xách tay/ Laptop Lenovo Yoga 520-14IKB-81C8008WVN (I5-8250U) (Vàng),16.490.000 ?,12,Lenovo,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"14.0""",Có,1920 x 1080,Intel UHD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Không có,3,1,Không,Không,1.7kg,3,Không
Máy xách tay/ Laptop HP 15-bs767TX (3VM54PA) (Bạc),14.790.000 ?,12,HP,Multimedia,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel UHD Graphics 620,AMD Radeon 520,2GB,1TB,Không có,Có,Có,Không có,3,1,Không,Có,1.9kg,4,Không
Máy xách tay/ Laptop Lenovo Yoga 520-14IKB-80X80108VN (I3-7130U) (Vàng),14.490.000 ?,12,Lenovo,Multimedia,Vàng,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Windows 10,4GB,Đang cập nhật,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Không có,3,1,Không,Không,1.8 kg,2,Không
Máy xách tay/ Laptop Acer Nitro 5 AN515-51-5531 (NH.Q2RSV.005) (Đen),19.499.000 ?,12,Acer,Gaming,Đen,Intel Core i5 7th Gen,i5-7300HQ,2,2.5 GHz,6MB,Free DOS,8GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics,NVIDIA Geforce GTX 1050,4GB,1TB,Không có,Không,Có,Đơn sắc,4,1,Có,Không,2.2kg,4,Không
Máy xách tay/ Laptop Asus S510UN-BQ276T (I5-8250U) (Vàng),17.290.000 ?,24,Asus,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,NVIDIA GeForce MX150,2GB,1TB,Không có,Không,Không,Đơn sắc,3,1,Không,Không,1.62 kg,3,Không
Máy xách tay/ Laptop HP Pavilion 15-cc042TU (3MS16PA) (Xám),11.990.000 ?,12,HP,Multimedia,Xám,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,4GB,16GB,"15.6""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Có,Có,Không có,3,1,Có,Không,2.17 Kg,3,Không
Máy xách tay/ Laptop Lenovo Thinkpad E480-20KN005GVA (I5-8250U) (Đen),15.490.000 ?,12,Lenovo,Office,Đen,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,3MB,Không có,4GB,32GB,"14.0""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Đơn sắc,4,1,Có,Không,1.75 Kg,3,Không
Máy xách tay/ Laptop Acer Spin 5 SP513-52N-556V (NX.GR7SV.004) (Xám),20.450.000 ?,12,Acer,Office,Xám,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,8GB,8GB,"13.3""",Có,1920 x 1080,Intel HD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Đơn sắc,4,1,Không,Không,1.54 Kg,3,Không
Máy xách tay/ Laptop Dell Vostro 3578-V3578C (Đen),16.290.000 ?,12,Dell,Office,Đen,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Ubuntu,8GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel UHD Graphics 620,AMD Radeon 520,2GB,1TB,Không có,Có,Có,Đơn sắc,3,1,Có,Có,2.29 Kg,4,Không
Máy xách tay/ Laptop Asus FX503VM-E4087T (I5-7300HQ) (Đen),26.990.000 ?,24,Asus,Gaming,Đen,Intel Core i5 7th Gen,i5-7300HQ,4,2.5 GHz,6MB,Windows 10,8GB,32GB,"15.6""",Không,1920 x 1080,Intel HD Graphics 630,NVIDIA GeForce GTX 1060,6GB,1TB,Không có,Không,Có,Đơn sắc,3,1,Có,Không,2.6 Kg,4,Không
Máy xách tay/ Laptop Lenovo Thinkpad L380-20M5S01500 (I5-8250U) (Bạc),19.090.000 ?,12,Lenovo,Office,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Không có,4GB,16GB,"13.3""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Đơn sắc,4,1,Có,Không,1.47 Kg,4,Không
Máy xách tay/ Laptop Lenovo Thinkpad L380-20M5S02E00 (I7-8550U) (Bạc),24.490.000 ?,12,Lenovo,Office,Bạc,Intel Core i7 8th Gen,I7-8550U,4,1.8 GHz,8MB,Không có,8GB,Đang cập nhật,"13.3""",Không,1920 x 1080,Intel UHD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Đơn sắc,4,1,Có,Không,1.47 Kg,3,Không
Máy xách tay/ Laptop HP 14-bs111TU (3MS13PA) (Bạc),13.890.000 ?,12,HP,Office,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Có,Có,1.7 kg,6,Không
Máy xách tay/ Laptop HP Pavilion 14-bf036TU (3MT77PA) (Bạc),12.490.000 ?,12,HP,Multimedia,Bạc,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,4GB,16GB,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Có,Không,1.54 Kg,3,Không
Máy xách tay/ Laptop Lenovo V330-14IKB-81B0008QVN (I3-7130U) (Đen),10.890.000 ?,12,Lenovo,Office,Đen,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Không có,4GB,12GB,"14.0""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Có,Đơn sắc,4,0,Có,Không,1.55 Kg,2,Không
Máy xách tay/ Laptop MSI GP63 8RE-249VN (I7-8750H),39.990.000 ?,24,MSI,Gaming,Đen,Intel Core i7 8th Gen,i7-8750H,6,2.2 GHz,9MB,Windows 10,16GB,32GB,"15.6""",Không,1920 x 1080,Intel HD Graphics 630,NVIDIA GeForce GTX 1060,6GB,1TB,128GB,Không,Có,RGB,4,1,Có,Không,2.2 Kg,6,Không
Máy xách tay/ Laptop MSI GV72 7RD-1610VN (I7-7700HQ),24.690.000 ?,24,MSI,Gaming,Đen,Intel Core i7 7th Gen,i7-7700HQ,4,2.8 GHz,6MB,Windows 10,8GB,32GB,"17.3""",Không,1920 x 1080,Intel HD Graphics 630,NVIDIA GeForce GTX 1050,4GB,1TB,Không có,Không,Có,Đơn sắc,4,1,Có,Không,2.7 Kg,6,Không
Máy xách tay/ Laptop Asus TP410UF-EC029T (I5-8250U) (Xám),18.090.000 ?,24,Asus,Office,Xám,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,4GB,"14.0""",Có,1920 x 1080,Intel UHD Graphics 620,NVIDIA GeForce MX130,256MB,1TB,Không có,Không,Không,Đơn sắc,4,1,Không,Không,1.61 Kg,3,Không
Máy xách tay/ Laptop Asus S510UN-BQ276T (I5-8250U) (Vàng),17.290.000 ?,24,Asus,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,NVIDIA GeForce MX150,2GB,1TB,Không có,Không,Không,Đơn sắc,3,1,Không,Không,1.62 kg,3,Không
Máy xách tay/ Laptop HP Pavilion 15-cc042TU (3MS16PA) (Xám),11.990.000 ?,12,HP,Multimedia,Xám,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,4GB,16GB,"15.6""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Có,Có,Không có,3,1,Có,Không,2.17 Kg,3,Không
Máy xách tay/ Laptop Lenovo Thinkpad E480-20KN005GVA (I5-8250U) (Đen),15.490.000 ?,12,Lenovo,Office,Đen,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,3MB,Không có,4GB,32GB,"14.0""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Đơn sắc,4,1,Có,Không,1.75 Kg,3,Không
Máy xách tay/ Laptop Acer Spin 5 SP513-52N-556V (NX.GR7SV.004) (Xám),20.450.000 ?,12,Acer,Office,Xám,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,8GB,8GB,"13.3""",Có,1920 x 1080,Intel HD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Đơn sắc,4,1,Không,Không,1.54 Kg,3,Không
Máy xách tay/ Laptop Lenovo Thinkpad L380-20M5S02E00 (I7-8550U) (Bạc),24.490.000 ?,12,Lenovo,Office,Bạc,Intel Core i7 8th Gen,I7-8550U,4,1.8 GHz,8MB,Không có,8GB,Đang cập nhật,"13.3""",Không,1920 x 1080,Intel UHD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Đơn sắc,4,1,Có,Không,1.47 Kg,3,Không
Máy xách tay/ Laptop Dell Vostro 3578-V3578C (Đen),16.290.000 ?,12,Dell,Office,Đen,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Ubuntu,8GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel UHD Graphics 620,AMD Radeon 520,2GB,1TB,Không có,Có,Có,Đơn sắc,3,1,Có,Có,2.29 Kg,4,Không
Máy xách tay/ Laptop Asus FX503VM-E4087T (I5-7300HQ) (Đen),26.990.000 ?,24,Asus,Gaming,Đen,Intel Core i5 7th Gen,i5-7300HQ,4,2.5 GHz,6MB,Windows 10,8GB,32GB,"15.6""",Không,1920 x 1080,Intel HD Graphics 630,NVIDIA GeForce GTX 1060,6GB,1TB,Không có,Không,Có,Đơn sắc,3,1,Có,Không,2.6 Kg,4,Không
Máy xách tay/ Laptop Lenovo Thinkpad L380-20M5S01500 (I5-8250U) (Bạc),19.090.000 ?,12,Lenovo,Office,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Không có,4GB,16GB,"13.3""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Đơn sắc,4,1,Có,Không,1.47 Kg,4,Không
Máy xách tay/ Laptop HP 14-bs111TU (3MS13PA) (Bạc),13.890.000 ?,12,HP,Office,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Có,Có,1.7 kg,6,Không
Máy xách tay/ Laptop HP Pavilion 14-bf036TU (3MT77PA) (Bạc),12.490.000 ?,12,HP,Multimedia,Bạc,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,4GB,16GB,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Có,Không,1.54 Kg,3,Không
Máy xách tay/ Laptop Lenovo V330-14IKB-81B0008QVN (I3-7130U) (Đen),10.890.000 ?,12,Lenovo,Office,Đen,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Không có,4GB,12GB,"14.0""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Có,Đơn sắc,4,0,Có,Có,1.55 Kg,2,Không
Máy xách tay/ Laptop MSI GP63 8RE-249VN (I7-8750H),39.990.000 ?,24,MSI,Gaming,Đen,Intel Core i7 8th Gen,i7-8750H,6,2.2 GHz,9MB,Windows 10,16GB,32GB,"15.6""",Không,1920 x 1080,Intel HD Graphics 630,NVIDIA GeForce GTX 1060,6GB,1TB,128GB,Không,Có,RGB,4,1,Có,Không,2.2 Kg,6,Không
Máy xách tay/ Laptop Asus FX504GE-E4059T (I7-8750H) (Đen),25.990.000 ?,24,Asus,Gaming,Đen,Intel Core i7 8th Gen,i7-8750H,6,2.2 GHz,9MB,Windows 10,8GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel UHD Graphics 630,NVIDIA Geforce GTX 1050Ti,4GB,1TB,Không có,Không,Có,Đơn sắc,3,1,Có,Không,2.3 Kg,3,Không
Máy xách tay/ Laptop Dell Inspiron 3476-N3476A (Đen),14.590.000 ?,12,Dell,Office,Đen,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Ubuntu,4GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel UHD Graphics 620,AMD Radeon 520,2GB,1TB,Không có,Có,Không,Đơn sắc,3,1,Không,Không,2.0 Kg,4,Không
Máy xách tay/ Laptop Asus S410UN-EB210T (I5-8250U) (Vàng ??ng),16.990.000 ?,24,Asus,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,12GB,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,NVIDIA GeForce MX150,2GB,1TB,Không có,Không,Không,Đơn sắc,4,1,Không,Không,1.43 Kg,3,Không
Máy xách tay/ Laptop Asus A510UF-EJ184T (I5-8250U) (Vàng),14.590.000 ?,24,Asus,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,16GB,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,NVIDIA GeForce MX130,2GB,1TB,Không có,Không,Không,Đơn sắc,4,1,Không,Không,1.7 Kg,3,Không
Máy xách tay/ Laptop Lenovo Thinkpad E570-20H6S1N800 (Đen),19.100.000 ?,12,LENOVO,Office,Đen,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Windows 10,8GB,16GB,"15.6""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,500GB,Không có,Có,Có,Đơn sắc,0,0,Có,Không,2.3 Kg,4,Không
Máy xách tay/ Laptop HP Pavilion 15-cc058TX (3MS19PA),17.990.000 ?,12,HP,Multimedia,Bạc,Intel Core i7 7th Gen,i7-7500U,2,2.7 GHz,45MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,NVIDIA GeForce 940MX,2GB,1TB,Không có,Không,Có,Đơn sắc,3,1,Có,Không,2.15 Kg,3,Không
Máy xách tay/ Laptop Lenovo V330-14IKBR-81B0008LVN (I5-8250U) (Đen),13.290.000 ?,12,Lenovo,Office,Đen,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Không có,4GB,12GB,"14.0""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Có,Đơn sắc,4,1,Có,Có,1.55 Kg,2,Không
Máy xách tay/ Laptop Lenovo Yoga 520-14IKB-80X8016EVN (I3-7130U) (Vàng),12.490.000 ?,12,Lenovo,Office,Vàng,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Windows 10,4GB,Đang cập nhật,"14.0""",Có,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Đơn sắc,3,1,Không,Không,1.76 Kg,2,Không
Máy xách tay/ Laptop Dell Vostro 3578-V3578A (Đen),15.190.000 ?,12,Dell,Office,Đen,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Ubuntu,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel UHD Graphics 620,AMD Radeon 520,2GB,1TB,Không có,Có,Có,Đơn sắc,3,1,Có,Có,2.29 Kg,4,Không
Máy xách tay/ Laptop Asus S410UN-EB022T (I5-8250U) (Vàng ??ng),19.290.000 ?,24,Asus,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,12GB,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,NVIDIA GeForce MX150,2GB,1TB,128GB,Không,Không,Đơn sắc,4,1,Không,Không,1.43 Kg,3,Không
Máy xách tay/ Laptop Asus A510UF-BR185T (I5-8250U) (Vàng),13.990.000 ?,24,Asus,Office,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,16GB,"15.6""",Không,1366 x 768,Intel HD Graphics 620,NVIDIA GeForce MX130,2GB,1TB,Không có,Không,Không,Đơn sắc,4,1,Không,Không,1.7 Kg,3,Không
Máy xách tay/ Laptop MSI GP63 8RD-098VN (I7-8750H),34.990.000 ?,24,MSI,Gaming,Đen,Intel Core i7 8th Gen,i7-8750H,6,2.2 GHz,9MB,Windows 10,16GB,32GB,"15.6""",Không,1920 x 1080,Intel UHD Graphics 630,NVIDIA GeForce GTX 1050Ti,4GB,1TB,128GB,Không,Có,RGB,4,1,Có,Không,2.2 Kg,6,Không
Máy xách tay/ Laptop MSI GL63 8RC-266VN (I5-8300H),23.990.000 ?,24,MSI,Gaming,Đen,Intel Core i5 8th Gen,i5-8300H,4,2.2 GHz,8MB,Windows 10,8GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel UHD Graphics 630,NVIDIA GeForce GTX 1050,4GB,1TB,128GB,Không,Có,Đơn sắc,4,1,Có,Không,2.2 Kg,6,Không
Máy xách tay/ Laptop HP Pavilion 14-bf035TU (3MS07PA) (Hồng),12.490.000 ?,12,HP,Multimedia,Hồng,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,4GB,16GB,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Có,Không,1.54 Kg,3,Không
Máy xách tay/ Laptop Lenovo Ideapad 110-14IBR-80T600AJVN (N3710) (Đen),6.700.000 ?,12,Lenovo,Office,Đen,Intel Pentium,N3710,4,1.6 GHz,2MB,Windows 10,4GB,4GB,"14.0""",Không,1366 x 768,Intel HD Graphics 405,Không có,Không,500GB,Không có,Không,Không,Đơn sắc,2,1,Có,Không,2.0 Kg,3,Không
Máy xách tay/ Laptop Asus A411UA-EB447T (I3-7100U) (Vàng),11.490.000 ?,24,Asus,Multimedia,Vàng,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,4GB,12GB,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Đơn sắc,4,1,Không,Không,1.43 Kg,3,Không
Máy xách tay/ Laptop Asus UX430UA-GV428T (I5-8250U) (Vàng),23.490.000 ?,24,Asus,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,8GB,8GB,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,Không có,512GB,Không,Không,Đơn sắc,3,1,Không,Không,1.29 kg,3,Không
Máy xách tay/ Laptop Acer Nitro 5 AN515-52-5425 (NH.Q3MSV.004) (Đen),21.990.000 ?,12,Acer,Gaming,Đen,Intel Core i5 8th Gen,i5-8300H,4,2.3 GHz,8MB,Không có,8GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel UHD Graphics 630,NVIDIA Geforce GTX 1050,4GB,1TB,128GB,Không,Có,Đơn sắc,4,1,Có,Không,2.42 Kg,4,Không
Máy xách tay/ Laptop Asus UX430UN-GV091T (I7-8550U) (Vàng ??ng),29.490.000 ?,24,Asus,Multimedia,Vàng,Intel Core i7 8th Gen,I7-8550U,4,1.8 GHz,8MB,Windows 10,8GB,8GB,"14.0""",Có,1920 x 1080,Intel HD Graphics 620,NVIDIA GeForce MX150,256MB,Không có,512GB,Không,Không,Đơn sắc,3,1,Không,Không,1.3 Kg,3,Không
Máy xách tay/ Laptop Dell Vostro 3478-R3M961 (I5-8250U) (Đen),14.990.000 ?,12,Dell,Office,Đen,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Linux,4GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel UHD Graphics 620,AMD Radeon 520,256MB,1TB,Không có,Có,Không,Đơn sắc,3,1,Có,Không,2.29 Kg,4,Không
Máy xách tay/ Laptop MSI GL63 8RC-265VN (I7-8750H),26.490.000 ?,24,MSI,Gaming,Đen,Intel Core i7 8th Gen,i7-8750H,6,2.2 GHz,9MB,Windows 10,8GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel UHD Graphics 630,NVIDIA GeForce GTX 1050,4GB,1TB,128GB,Không,Có,Đơn sắc,4,1,Có,Không,2.2 Kg,6,Không
Máy xách tay/ Laptop MacBook Air MQD42ZP/A,27.700.000 ?,12,Apple,Multimedia,Bạc,Intel Core i5,i5,2,1.8 GHz,2MB,OS X,8GB,8GB,"13.3""",Không,1440 x 900,Intel HD Graphics 6000,Không có,Không,Không có,256GB,Không,Không,Đơn sắc,2,0,Không,Không,1.06 Kg,Gắn liền,Không
Máy xách tay/ Laptop Dell Vostro 15 3578-NGMPF11 (I7-8550U) (Đen),20.690.000 ?,12,Dell,Office,Đen,Intel Core i7 8th Gen,I7-8550U,4,1.8 GHz,8MB,Windows 10,8GB,16GB,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,AMD Radeon 520,2GB,1TB,Không có,Không,Có,Không có,4,1,Có,Có,2.29 Kg,4,Không
Máy xách tay/ Laptop Asus A510UA-BR871T (I5-8250U) (Vàng),12.990.000 ?,24,Asus,Office,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,16GB,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Đơn sắc,4,1,Không,Không,1.7 Kg,3,Không
